text,target
LOCAL CANTINA HILLIAHILLIARD            OH,Food
MARATHON PETRO82180 HEBRON              OH,Gas
PANIFICADORA JESBELLSAO PAULO           SP,Food
PENN STATION   255 0GAHANNA             OH,Food
RED LOBSTER 0548 548HEATH               OH,Food
SLEEP INN OR255 0000BOARDMAN            OR,Hotels
SPEEDWAY 45189 00004HILLIARD            OH,Gas
TACO BELL #19722 197HERMISTON           OR,Food
TACO BELL #33926 339PORTLAND            OR,Food
UNION 76 09470196   HERMISTON           OR,Gas
Uber UBER *TRIP HELPSAO PAULO,RideShare
BURGER KING #3954 00HILLSBORO           OR,Food
CHARLEYS PHILLY STEAATLANTA             GA,Food
CRACKER BARREL #348 BECKLEY             WV,Food
EXXONMOBIL 4694     CHARLOTTESVIL       VA,Gas
IHOP                MIRAMAR             FL,Food
KNIGHTS INN 08487005BOARDMAN            OR,Hotels
MIDWAY BAR & GRILL 6HERMISTON           OR,Food
NASHVILLE AIRPORT   ANTIOCH             TN,Airlines
PANDA EXPRESS       GILBERT             AZ,Food
SUBWAY              HOUSTON             TX,Food
TACO BELL           TROUTDALE           OR,Food
TARGET        003418TACOMA              WA,Food
TST* DELBAR MIDDLE EATLANTA             GA,Food
TST* SAMMIES BAR ANDTALLMADGE           OH,Food
MANIA PRIME JK COMERSAO PAULO,Food
OXXO SOUZA ARANHA   SAO PAULO,Food
TST* MCK RESTAURANT ATLANTA             GA,Food
APPLEBEES 2102049 88PEMBROKE PINE       FL,Food
D STELLA TAMBORE    BARUERI,Food
NATIONAL CAR R011409HOUSTON             TX,Car Rental
PILOT_00597 00597   CHILLICOTHE         OH,Food
SHEETZ              BECKLEY             WV,Food
WALNUT BOTTOM 095337CARLISLE            PA,Car Rental
BP#38604421219 CIRCLCIRCLEVILLE         OH,Gas
COMLUBRI AUTO POS   BARUERI,Food
GRILLARICA          BARUERI             SP,Food
BP#88741331634 EASTOCOLUMBUS            OH,Gas
BRITO PARK          SAO PAULO           SP,Store
BT*HOTELBOOKING*SERVLEHI                UT,Hotels
DD *DOORDASH NORTHHISAN FRANCISCO       CA,Food
LA CASCADA 650000012HILLSBORO           OH,Food
SHELL SERVICE STATIOPATASKALA           OH,Gas
STARBUCKS STORE 0243HILLIARD            OH,Food
STARUBKCS CMH       COLUMBUS            OH,Food
DAIRY QUEEN #15472 0NEW ALBANY          OH,Food
DD *DOORDASH GOLDENCSAN FRANCISCO       CA,Food
EAGLES PIZZA 0000   NEW ALBANY          OH,Food
EDDIE GEORGE GRILLE COLUMBUS            OH,Food
QT                  JEFFERSON           GA,Gas
SPEEDWAY 45276 00004COLUMBUS            OH,Gas
TACO BELL 741403 741NEW ALBANY          OH,Food
ACORD CARRY OUT.. 00CHILLICOTHE         OH,Food
ALPHAVILLE TREVO    BARUERI,Food
DD *DOORDASH AVASTASSAN FRANCISCO       CA,Food
DD *DOORDASH FUKURYUSAN FRANCISCO       CA,Food
DROGARIA SAO PAULO  SAO PAULO           SP,Store
GIANT EAGLE         DUBLIN              OH,Store
MCDONALD'S F20594 00ATLANTA             GA,Food
PENN STATION 220 000CHILLICOTHE         OH,Food
SINAL               SAO PAULO,Store
SOPHIA'S            Dublin              OH,Food
SUBWAY              NEW ALBANY          OH,Food
TST* STEAK N SHAKE -HOUSTON             TX,Food
WENDYS #9600 0000096JOHNSTOWN           OH,Food
ALDI 61024 000000000HILLIARD            OH,Store
ARBY'S 221          ZANESVILLE          OH,Food
BP#9563966TTA# 39 95BELMONT             NC,Gas
GOLDEN KRUST 7TH AVEMIAMI GARDENS       FL,Food
HAMPTON INN AND SUITCHARLOTTE           NC,Hotels
HANA STEAK HOUSE INCCHILLICOTHE         OH,Food
IAD DULLES ECONOMY 8DULLES              VA,Toll
LOVE'S #0221 OUTSIDEZANESVILLE          OH,Gas
MIA ISLANDERBAR&GRILMIAMI               FL,Food
RENTALTOLL662782577 877-860-1283        PA,Car Rental
ROYAL FARMS #412 412MARTINSBURG         WV,Food
WENDY'S 0332 0000003JACKSONVILLE        FL,Food
BEST BUY            DOUGLASVILLE        GA,Store
BP#88742401628 WORTHWORTHINGTON         OH,Gas
CHILI S             HAMPTON             VA,Food
COMFORT SUITES PORTLPORTLAND            OR,Hotels
ENTERPRISE RENT-A-CAPASCO               WA,Car Rental
PANERA BREAD        COLUMBUS            OH,Food
PAR*SMOOTHIE KING SKCOLUMBUS            OH,Food
STARBUCKS CONC E PDXPORTLAND            OR,Food
TEXAS ROADHOUSE #267CHILLICOTHE         OH,Food
